event_date,event_name,user_id,session_id,device_category,country,page_location,engagement_time_msec,item_revenue,traffic_source
20240101,click,84327,749914,tablet,Canada,/about,20062,260.48,organic
20240101,purchase,97911,910692,desktop,UK,/about,20648,276.12,direct
20240101,session_start,98147,814967,mobile,USA,/about,4751,43.17,paid
20240101,purchase,17833,161852,desktop,Canada,/contact,3056,203.71,paid
20240101,purchase,57013,128380,tablet,USA,/checkout,38649,259.89,paid
20240101,scroll,73620,577563,desktop,UK,/product,29271,211.49,referral
20240101,session_start,25754,171257,tablet,Australia,/product,36074,350.3,organic
20240101,session_start,88113,272263,mobile,UK,/checkout,49125,385.68,referral
20240101,session_start,96784,367074,mobile,India,/about,37465,230.13,referral
20240101,purchase,45282,613279,tablet,USA,/checkout,42033,212.83,direct
20240101,click,46737,804914,mobile,UK,/about,28092,352.68,paid
20240101,session_start,34124,843847,tablet,Australia,/product,25576,277.65,referral
20240101,add_to_cart,80102,416161,tablet,Australia,/home,759,435.22,referral
20240101,purchase,12196,550514,tablet,UK,/product,7905,240.57,referral
20240101,scroll,71527,870112,desktop,Canada,/product,860,287.16,organic
20240101,click,95395,544605,mobile,UK,/home,30873,64.4,paid
20240101,add_to_cart,21345,828666,desktop,Australia,/checkout,41391,418.0,referral
20240101,add_to_cart,44077,256597,desktop,UK,/contact,33826,211.15,paid
20240101,scroll,76400,575308,mobile,India,/about,28167,359.53,paid
20240101,click,22055,704918,desktop,Canada,/about,42818,214.74,direct
20240101,purchase,95283,823571,tablet,UK,/product,38708,0.51,organic
20240101,page_view,54484,655568,desktop,Australia,/home,4508,200.21,referral
20240101,click,87514,748418,tablet,UK,/product,1955,73.75,referral
20240101,scroll,45771,242312,mobile,UK,/product,27885,199.31,direct
20240101,add_to_cart,67654,562757,desktop,USA,/checkout,16838,160.67,referral
20240101,purchase,56540,892976,mobile,UK,/about,5721,101.27,organic
20240101,click,93151,813341,tablet,India,/contact,35140,61.89,referral
20240101,page_view,39377,257908,desktop,Australia,/home,47510,364.28,organic
20240101,page_view,59573,376532,tablet,USA,/contact,37758,377.43,referral
20240101,session_start,52733,344335,tablet,UK,/home,27114,132.5,paid
20240101,session_start,21760,625982,tablet,Canada,/about,3262,247.6,paid
20240101,scroll,35762,227727,mobile,India,/checkout,20364,232.04,direct
20240101,click,60986,974634,mobile,India,/contact,39385,177.62,referral
20240101,click,44332,737345,mobile,India,/home,8495,138.82,referral
20240101,add_to_cart,50100,623888,desktop,USA,/product,708,93.02,organic
20240101,add_to_cart,14944,411438,tablet,UK,/about,27356,436.45,referral
20240101,add_to_cart,58825,663057,mobile,India,/checkout,8176,416.66,direct
20240101,session_start,23877,532636,tablet,UK,/product,34008,208.59,referral
20240101,click,39990,475433,mobile,Canada,/checkout,12453,360.6,paid
20240101,click,65283,202885,tablet,UK,/home,26854,249.17,direct
20240101,page_view,13258,662143,mobile,UK,/product,4974,42.69,paid
20240101,session_start,41629,756820,mobile,UK,/checkout,5096,411.2,direct
20240101,purchase,47579,595407,mobile,Australia,/about,21407,109.64,direct
20240101,session_start,32958,671934,mobile,USA,/contact,46565,353.41,direct
20240101,purchase,49465,534468,tablet,UK,/contact,8273,263.7,direct
20240101,page_view,95853,503051,mobile,India,/product,39103,345.27,organic
20240101,scroll,25775,213947,mobile,Australia,/about,5296,235.6,direct
20240101,click,86575,110910,mobile,UK,/about,8017,351.28,paid
20240101,page_view,44207,707045,tablet,Australia,/checkout,48479,16.41,referral
20240101,click,32553,584365,mobile,USA,/product,838,20.43,organic
